ZipRange,StartZip,EndZip,ZipTable,Records
49800-49899,49801,49899,SP498,76
49900-49999,49901,49999,SP499,76
50000-50099,50001,50099,SP500,80
50100-50199,50101,50199,SP501,74
50200-50299,50201,50299,SP502,78
50300-50399,50301,50399,SP503,75
50400-50499,50401,50499,SP504,75
50500-50599,50501,50599,SP505,79
50600-50699,50601,50699,SP506,73
50700-50799,50701,50799,SP507,75
50800-50899,50801,50899,SP508,73
50900-50999,50901,50999,SP509,71
51000-51099,51001,51099,SP510,78
51100-51199,51101,51199,SP511,77
51200-51299,51201,51299,SP512,79
51300-51399,51301,51399,SP513,78
51400-51499,51401,51499,SP514,76
51500-51599,51501,51599,SP515,78
51600-51699,51601,51699,SP516,80
52000-52099,52001,52099,SP520,76
52100-52199,52101,52199,SP521,78
52201-52399,52201,52399,SP522,71
52400-52499,52401,52499,SP524,74
52500-52599,52501,52599,SP525,74
52600-52699,52601,52699,SP526,77
52700-52799,52701,52799,SP527,78
52800-52899,52801,52899,SP528,84
53000-53099,53001,53099,SP530,85
53100-53199,53101,53199,SP531,84
53200-53299,53201,53299,SP532,78
53400-53499,53401,53499,SP534,75
53500-53599,53501,53599,SP535,85
53700-53799,53701,53799,SP537,78
53800-53899,53801,53899,SP538,77
53900-53999,53901,53999,SP539,75
54000-54099,54001,54099,SP540,75
54101-54299,54101,54299,SP541,71
54300-54399,54301,54399,SP543,71
54400-54499,54401,54499,SP544,74
54500-54599,54501,54599,SP545,74
54600-54699,54601,54699,SP546,75
54700-54799,54701,54799,SP547,72
54800-54899,54801,54899,SP548,75
54900-54999,54901,54999,SP549,78
55000-55099,55001,55099,SP550,83
55100-55199,55101,55199,SP551,74
55300-55399,55301,55399,SP553,78
55400-55499,55401,55499,SP554,73
55500-55599,55501,55599,SP555,73
55600-55699,55601,55699,SP556,79
55700-55799,55701,55799,SP557,82
55800-55899,55801,55899,SP558,80
55900-55999,55901,55999,SP559,79
56000-56099,56001,56099,SP560,81
56100-56199,56101,56199,SP561,76
56200-56299,56201,56299,SP562,74
56300-56399,56301,56399,SP563,68
56400-56499,56401,56499,SP564,73
56500-56599,56501,56599,SP565,81
56600-56699,56601,56699,SP566,80
56700-56799,56701,56799,SP567,72
57000-57099,57001,57099,SP570,75
57100-57199,57101,57199,SP571,77
57200-57299,57201,57299,SP572,73
57300-57399,57301,57399,SP573,70
57400-57499,57401,57499,SP574,76
57500-57599,57501,57599,SP575,68
57600-57699,57601,57699,SP576,73
57700-57799,57701,57799,SP577,65
58000-58099,58001,58099,SP580,77
58100-58199,58101,58199,SP581,79
58200-58299,58201,58299,SP582,70
58300-58399,58301,58399,SP583,64
58400-58499,58401,58499,SP584,78
58500-58599,58501,58599,SP585,69
58600-58699,58601,58699,SP586,70
58700-58799,58701,58799,SP587,66
58800-58899,58801,58899,SP588,72
60000-60099,60001,60099,SP600,75
60100-60199,60101,60199,SP601,71
60200-60299,60201,60299,SP602,71
60300-60399,60301,60399,SP603,73
60400-60499,60401,60499,SP604,80
60500-60599,60501,60599,SP605,80
60600-60699,60601,60699,SP606,78
60701-60899,60701,60899,SP607,71
60900-60999,60901,60999,SP609,78
61000-61099,61001,61099,SP610,73
61100-61199,61101,61199,SP611,79
61200-61299,61201,61299,SP612,82
61300-61399,61301,61399,SP613,76
61400-61499,61401,61499,SP614,79
61500-61599,61501,61599,SP615,76
61600-61699,61601,61699,SP616,77
61700-61799,61701,61799,SP617,75
61800-61899,61801,61899,SP618,74
61900-61999,61901,61999,SP619,71
62000-62099,62001,62099,SP620,67
62200-62299,62201,62299,SP622,66
62300-62399,62301,62399,SP623,72
62400-62499,62401,62499,SP624,69
62500-62599,62501,62599,SP625,73
62600-62699,62601,62699,SP626,72
62700-62799,62701,62799,SP627,72
62800-62899,62801,62899,SP628,64
62900-62999,62901,62999,SP629,73
63000-63099,63001,63099,SP630,75
63100-63199,63101,63199,SP631,72
63300-63399,63301,63399,SP633,72
64000-64099,64001,64099,SP640,75
64100-64199,64101,64199,SP641,71
66100-66199,66101,66199,SP661,73
66200-66299,66201,66299,SP662,76
68000-68099,68001,68099,SP680,77
68100-68199,68101,68199,SP681,77
68300-68399,68301,68399,SP683,70
68400-68499,68401,68499,SP684,69
68500-68599,68501,68599,SP685,73
68600-68699,68601,68699,SP686,67
68700-68799,68701,68799,SP687,74
68800-68899,68801,68899,SP688,66
68900-68999,68901,68999,SP689,65
69000-69099,69001,69099,SP690,77
69100-69199,69101,69199,SP691,71
69300-69399,69301,69399,SP693,68
