ZONE CHART,,,,,,,,,
,,,,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,,
,,,,,,,,,
For shipments originating in ZIP Codes 135-01 to 135-99. To determine zone,,,,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,,
,,,,,,,,,
ZONES,,,,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,,
005,003,303,203,243,133,103,,,
006,045,-,225,-,-,125,,,
007,045,-,225,-,-,125,,,
009,045,-,225,-,-,125,,,
010,002,302,202,242,132,102,,,
011,002,302,202,242,132,102,,,
012,002,302,202,242,132,102,,,
013,002,302,202,242,132,102,,,
014,003,303,203,243,133,103,,,
015,003,303,203,243,133,103,,,
016,003,303,203,243,133,103,,,
017,003,303,203,243,133,103,,,
018,003,303,203,243,133,103,,,
019,003,303,203,243,133,103,,,
020,003,303,203,243,133,103,,,
021,003,303,203,243,133,103,,,
022,003,303,203,243,133,103,,,
023,003,303,203,243,133,103,,,
024,003,303,203,243,133,103,,,
025,003,303,203,243,133,103,,,
026,003,303,203,243,133,103,,,
027,003,303,203,243,133,103,,,
028,003,303,203,243,133,103,,,
029,003,303,203,243,133,103,,,
030,003,303,203,243,133,103,,,
031,003,303,203,243,133,103,,,
032,003,303,203,243,133,103,,,
033,003,303,203,243,133,103,,,
034,002,302,202,242,132,102,,,
035,003,303,203,243,133,103,,,
036,002,302,202,242,132,102,,,
037,002,302,202,242,132,102,,,
038,003,303,203,243,133,103,,,
039,003,303,203,243,133,103,,,
040,003,303,203,243,133,103,,,
041,003,303,203,243,133,103,,,
042,003,303,203,243,133,103,,,
043,003,303,203,243,133,103,,,
044,004,304,204,244,134,104,,,
045,003,303,203,243,133,103,,,
046,004,304,204,244,134,104,,,
047,004,304,204,244,134,104,,,
048,003,303,203,243,133,103,,,
049,003,303,203,243,133,103,,,
050,002,302,202,242,132,102,,,
051,002,302,202,242,132,102,,,
052,002,302,202,242,132,102,,,
053,002,302,202,242,132,102,,,
054,002,302,202,242,132,102,,,
055,003,303,203,243,133,103,,,
056,002,302,202,242,132,102,,,
057,002,302,202,242,132,102,,,
058,002,302,202,242,132,102,,,
059,003,303,203,243,133,103,,,
060,002,302,202,242,132,102,,,
061,002,302,202,242,132,102,,,
062,003,303,203,243,133,103,,,
063,003,303,203,243,133,103,,,
064,003,303,203,243,133,103,,,
